rank,title,heat,tag,brief,link,trend,fetched_at,source
1,“十五五”笃行启新程,7904574,,10月28日发布的《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》。《建议》明确“十五五”时期经济社会发展的... 查看更多>,https://www.baidu.com/s?wd=%E2%80%9C%E5%8D%81%E4%BA%94%E4%BA%94%E2%80%9D%E7%AC%83%E8%A1%8C%E5%90%AF%E6%96%B0%E7%A8%8B&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
1,习近平将同美国总统特朗普举行会晤,7809162,,外交部发言人宣布：经中美双方商定，国家主席习近平将于当地时间10月30日在韩国釜山同美国总统特朗普举行会晤，就中美关系和... 查看更多>,https://www.baidu.com/s?wd=%E4%B9%A0%E8%BF%91%E5%B9%B3%E5%B0%86%E5%90%8C%E7%BE%8E%E5%9B%BD%E6%80%BB%E7%BB%9F%E7%89%B9%E6%9C%97%E6%99%AE%E4%B8%BE%E8%A1%8C%E4%BC%9A%E6%99%A4&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
2,原子弹心脏的炸药竟是木棒搅出来的,7713936,,20世纪60年代中国研制首颗原子弹时，因苏联撤援与技术封锁，科研人员以木棒手工搅拌等高危原始方法制作炸药核心部件，代号“... 查看更多>,https://www.baidu.com/s?wd=%E5%8E%9F%E5%AD%90%E5%BC%B9%E5%BF%83%E8%84%8F%E7%9A%84%E7%82%B8%E8%8D%AF%E7%AB%9F%E6%98%AF%E6%9C%A8%E6%A3%92%E6%90%85%E5%87%BA%E6%9D%A5%E7%9A%84&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
3,“十五五”要实施这些“大工程”,7618148,,10月28日，《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》公布。规划建议部署，“十五五”时期要实施许多“... 查看更多>,https://www.baidu.com/s?wd=%E2%80%9C%E5%8D%81%E4%BA%94%E4%BA%94%E2%80%9D%E8%A6%81%E5%AE%9E%E6%96%BD%E8%BF%99%E4%BA%9B%E2%80%9C%E5%A4%A7%E5%B7%A5%E7%A8%8B%E2%80%9D&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
4,台湾IP涌入《没出息》评论区,7521413,,近日，一段改编民进党民意代表王世坚质询金句的歌曲《没出息》在两岸爆红，让人直呼洗脑。歌曲爆火以后，大量台湾IP涌入《没出... 查看更多>,https://www.baidu.com/s?wd=%E5%8F%B0%E6%B9%BEIP%E6%B6%8C%E5%85%A5%E3%80%8A%E6%B2%A1%E5%87%BA%E6%81%AF%E3%80%8B%E8%AF%84%E8%AE%BA%E5%8C%BA&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
5,中国女数学家王虹接连斩获两项大奖,7429202,,10月28日，34岁中国数学家王虹接连斩获2025年塞勒姆奖与ICCM数学奖金奖。 查看更多>,https://www.baidu.com/s?wd=%E4%B8%AD%E5%9B%BD%E5%A5%B3%E6%95%B0%E5%AD%A6%E5%AE%B6%E7%8E%8B%E8%99%B9%E6%8E%A5%E8%BF%9E%E6%96%A9%E8%8E%B7%E4%B8%A4%E9%A1%B9%E5%A4%A7%E5%A5%96&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
6,网警大字提醒：护老安全莫松懈,7328047,,近日，央视报道新型“养牛”理财诈骗，一些团伙以“免费火锅”“高息回报”为诱饵，诱骗老年人投资虚假项目，最终卷款跑路。网警... 查看更多>,https://www.baidu.com/s?wd=%E7%BD%91%E8%AD%A6%E5%A4%A7%E5%AD%97%E6%8F%90%E9%86%92%EF%BC%9A%E6%8A%A4%E8%80%81%E5%AE%89%E5%85%A8%E8%8E%AB%E6%9D%BE%E6%87%88&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
7,史上第一家！英伟达市值超5万亿美元,7236830,,美东时间10月29日美股开盘，英伟达股价涨超4%，截至界面新闻发稿，报价约209.85美元/股，再创历史新高，成为全球首... 查看更多>,https://www.baidu.com/s?wd=%E5%8F%B2%E4%B8%8A%E7%AC%AC%E4%B8%80%E5%AE%B6%EF%BC%81%E8%8B%B1%E4%BC%9F%E8%BE%BE%E5%B8%82%E5%80%BC%E8%B6%855%E4%B8%87%E4%BA%BF%E7%BE%8E%E5%85%83&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
8,一种比三高还猛的病正在困扰咱爸妈,7137164,,10月29日是第十三个法定“老年节”，在送上健康祝福的同时。老年慢性病防控的严峻现实也引发社会关注。数据显示，慢性病已成... 查看更多>,https://www.baidu.com/s?wd=%E4%B8%80%E7%A7%8D%E6%AF%94%E4%B8%89%E9%AB%98%E8%BF%98%E7%8C%9B%E7%9A%84%E7%97%85%E6%AD%A3%E5%9C%A8%E5%9B%B0%E6%89%B0%E5%92%B1%E7%88%B8%E5%A6%88&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
9,落马女副厅被逮捕 外号“田哥艳姐”,7045026,,10月29日，贵州省卫生健康委员会原党组成员、副主任田艳因涉嫌受贿被安顺市人民检察院逮捕。案件由贵州省监察委员会调查终结... 查看更多>,https://www.baidu.com/s?wd=%E8%90%BD%E9%A9%AC%E5%A5%B3%E5%89%AF%E5%8E%85%E8%A2%AB%E9%80%AE%E6%8D%95+%E5%A4%96%E5%8F%B7%E2%80%9C%E7%94%B0%E5%93%A5%E8%89%B3%E5%A7%90%E2%80%9D&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
10,你种菜的“营养土”可能有毒,6949016,,近期，有网友调查发现，网购低价营养土中9款镉、铅等重金属超标，原料多为建筑垃圾和工业污泥，部分产品销量超200万件，专家... 查看更多>,https://www.baidu.com/s?wd=%E4%BD%A0%E7%A7%8D%E8%8F%9C%E7%9A%84%E2%80%9C%E8%90%A5%E5%85%BB%E5%9C%9F%E2%80%9D%E5%8F%AF%E8%83%BD%E6%9C%89%E6%AF%92&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
11,广东一货车装“过亿现金”系谣言,6850691,,近日，广东惠州街头一货车被拍载有大量“纸币”，警方核实为用于宣传的合法道具练功钞，网传“过亿现金”系谣言。 查看更多>,https://www.baidu.com/s?wd=%E5%B9%BF%E4%B8%9C%E4%B8%80%E8%B4%A7%E8%BD%A6%E8%A3%85%E2%80%9C%E8%BF%87%E4%BA%BF%E7%8E%B0%E9%87%91%E2%80%9D%E7%B3%BB%E8%B0%A3%E8%A8%80&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
12,坐高铁上个厕所1万多的电脑没了,6754098,,10月29日，从杭州西开往连云港的高铁上，一旅客将价值1.4万元的笔记本电脑放在座位网兜内，上厕所时被邻座在20秒内偷走... 查看更多>,https://www.baidu.com/s?wd=%E5%9D%90%E9%AB%98%E9%93%81%E4%B8%8A%E4%B8%AA%E5%8E%95%E6%89%801%E4%B8%87%E5%A4%9A%E7%9A%84%E7%94%B5%E8%84%91%E6%B2%A1%E4%BA%86&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
13,孤寡老人去世欠贷66万 民政局清偿,6657523,,近日，孤寡老人生前向银行抵押贷款66万元，却因急病去世导致债务逾期，没有遗嘱，没有继承人，经法院审理查明指定被继承人生前... 查看更多>,https://www.baidu.com/s?wd=%E5%AD%A4%E5%AF%A1%E8%80%81%E4%BA%BA%E5%8E%BB%E4%B8%96%E6%AC%A0%E8%B4%B766%E4%B8%87+%E6%B0%91%E6%94%BF%E5%B1%80%E6%B8%85%E5%81%BF&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
14,上海一公司董事长离世 年仅46岁,6568279,,10月27日，德耐尔节能科技（上海）股份有限公司董事长兼总经理余浪波因突发疾病离世，年仅46岁。 查看更多>,https://www.baidu.com/s?wd=%E4%B8%8A%E6%B5%B7%E4%B8%80%E5%85%AC%E5%8F%B8%E8%91%A3%E4%BA%8B%E9%95%BF%E7%A6%BB%E4%B8%96+%E5%B9%B4%E4%BB%8546%E5%B2%81&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
15,飓风“梅丽莎”风眼震撼画面,6467669,,10月27日，美国媒体公布了一段“飓风猎人”驾驶气象侦察机穿越飓风“梅丽莎”，拍摄到飓风风眼的震撼画面。在相对平静的风眼... 查看更多>,https://www.baidu.com/s?wd=%E9%A3%93%E9%A3%8E%E2%80%9C%E6%A2%85%E4%B8%BD%E8%8E%8E%E2%80%9D%E9%A3%8E%E7%9C%BC%E9%9C%87%E6%92%BC%E7%94%BB%E9%9D%A2&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
16,2个弟弟送姐姐出嫁 吃分家饭时憋笑,6371834,,广东潮汕一对弟弟在姐姐出嫁的分家饭环节努力憋笑，姐姐见状亦忍俊不禁，网友调侃两人“差点把饭喷对方脸上”。 查看更多>,https://www.baidu.com/s?wd=2%E4%B8%AA%E5%BC%9F%E5%BC%9F%E9%80%81%E5%A7%90%E5%A7%90%E5%87%BA%E5%AB%81+%E5%90%83%E5%88%86%E5%AE%B6%E9%A5%AD%E6%97%B6%E6%86%8B%E7%AC%91&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
17,蒯曼2比3不敌金娜英,6278366,,10月29日，WTT蒙彼利埃冠军赛女单1/16决赛中，蒯曼以2-3不敌韩国选手金娜英，止步32强。 查看更多>,https://www.baidu.com/s?wd=%E8%92%AF%E6%9B%BC2%E6%AF%943%E4%B8%8D%E6%95%8C%E9%87%91%E5%A8%9C%E8%8B%B1&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
18,色弱学生被退学：应查明高考体检结果,6178194,,10月28日，重庆一市民反映，其儿子高考后被遵义医科大学运动康复专业录取。但却因被查出色弱遭到退学。针对此事的讨论，要追... 查看更多>,https://www.baidu.com/s?wd=%E8%89%B2%E5%BC%B1%E5%AD%A6%E7%94%9F%E8%A2%AB%E9%80%80%E5%AD%A6%EF%BC%9A%E5%BA%94%E6%9F%A5%E6%98%8E%E9%AB%98%E8%80%83%E4%BD%93%E6%A3%80%E7%BB%93%E6%9E%9C&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
19,特朗普：未能协调好与金正恩会晤时间,6091316,,10月29日，美国总统特朗普表示，未能协调好与朝鲜最高领导人金正恩的会晤时间。 查看更多>,https://www.baidu.com/s?wd=%E7%89%B9%E6%9C%97%E6%99%AE%EF%BC%9A%E6%9C%AA%E8%83%BD%E5%8D%8F%E8%B0%83%E5%A5%BD%E4%B8%8E%E9%87%91%E6%AD%A3%E6%81%A9%E4%BC%9A%E6%99%A4%E6%97%B6%E9%97%B4&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
20,百岁老人爱喝咖啡奶茶玩坏3个iPad,5997306,,1925年出生的百岁老人，因爱喝咖啡、无糖珍珠奶茶及玩坏3台iPad引发关注。其小红书账号由外孙女运营，粉丝超6400人... 查看更多>,https://www.baidu.com/s?wd=%E7%99%BE%E5%B2%81%E8%80%81%E4%BA%BA%E7%88%B1%E5%96%9D%E5%92%96%E5%95%A1%E5%A5%B6%E8%8C%B6%E7%8E%A9%E5%9D%8F3%E4%B8%AAiPad&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
21,人老了真的会变傻吗,5896820,,我国每年会有50万名老人走丢，大部分都是因为“阿尔茨海默症”的原因。人老了真的会变傻吗？其实不然，老年痴呆不等于老了痴呆... 查看更多>,https://www.baidu.com/s?wd=%E4%BA%BA%E8%80%81%E4%BA%86%E7%9C%9F%E7%9A%84%E4%BC%9A%E5%8F%98%E5%82%BB%E5%90%97&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
22,暴雨！大暴雪！新一股冷空气将来袭,5803121,,10月29日至31日，新一股冷空气将影响我国，青藏高原东部部分地区有中到大雪，西藏、青海南部等地局地暴雪或大暴雪；中东部... 查看更多>,https://www.baidu.com/s?wd=%E6%9A%B4%E9%9B%A8%EF%BC%81%E5%A4%A7%E6%9A%B4%E9%9B%AA%EF%BC%81%E6%96%B0%E4%B8%80%E8%82%A1%E5%86%B7%E7%A9%BA%E6%B0%94%E5%B0%86%E6%9D%A5%E8%A2%AD&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
23,受贿1.47亿余元 杨发森被判无期,5707108,,2025年10月29日，陕西省汉中市中级人民法院一审公开宣判青海省委原常委、政法委原书记杨发森受贿案，对被告人杨发森以受... 查看更多>,https://www.baidu.com/s?wd=%E5%8F%97%E8%B4%BF1.47%E4%BA%BF%E4%BD%99%E5%85%83+%E6%9D%A8%E5%8F%91%E6%A3%AE%E8%A2%AB%E5%88%A4%E6%97%A0%E6%9C%9F&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
